Potential biomarker;Semantic types;Connected to number of subgraph concepts;Weight points
ZFP36L2 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
BIM 26226;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;1;0
exiguaflavanone D;Organic Chemicals;1;0
trichokonin VI;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
methylcitrate synthase;Amino Acid, Peptide, or Protein, Enzyme;1;0
PMAP-37;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
funoran;Carbohydrate, Pharmacologic Substance;1;0
leptocarpin;Organic Chemicals;1;0
isoprene synthase;Amino Acid, Peptide, or Protein, Enzyme;1;0
cetyltrimethylammonium naproxenate;Organic Chemicals;1;0
siamycin I;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
oligoribonuclease;Amino Acid, Peptide, or Protein, Enzyme;1;0
RLN2 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Mercaptan compound;Organic Chemicals;1;0
Haptoglobin 2-1;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Thallium salt;Inorganic Chemical;1;0
Phosphate salt;Pharmacologic Substance, Inorganic Chemical;1;0
sulfur tetrafluoride;Inorganic Chemical;1;0
Bisulfite salt;Inorganic Chemical;1;0
Halogen compound;Chemical Viewed Structurally;1;0
Orange flower oil;Lipid;1;0
2-methylisocitrate lyase;Amino Acid, Peptide, or Protein, Enzyme;1;0
Arabinose-5-phosphate isomerase;Amino Acid, Peptide, or Protein, Enzyme;1;0
Chick growth factor S;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
Aminobutyric Acids;Amino Acid, Peptide, or Protein;1;0
Pyrimidones;Organic Chemicals;1;0
Sporidesmins;Organic Chemicals, Biologically Active Substance;1;0
Transferrin C;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
Ammonium urate crystals;Organic Chemicals;1;0
Plasmodium falciparum antibody;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
isoleucine hydroxamate;Amino Acid, Peptide, or Protein;1;0
lysine hydroxamate;Amino Acid, Peptide, or Protein;1;0
kuwanon G;Organic Chemicals;1;0
Sch 50672;Organic Chemicals;1;0
52-kDa protein, Trypanosoma cruzi;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
S-4-bromobenzylglutathione cyclopentyl diester;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
13-methoxy-15-oxozoapatlin;Organic Chemicals;1;0
S-methyl benzo(1,2,3)thiadiazole-7-carbothioate;Organic Chemicals;1;0
variacin;Amino Acid, Peptide, or Protein;1;0
Dyrk kinase;Amino Acid, Peptide, or Protein, Enzyme;1;0
enkelytin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
merlin, Drosophila;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
13-methyltetradecanoic acid;Lipid, Pharmacologic Substance;1;0
Apurinic Acid;Nucleic Acid, Nucleoside, or Nucleotide;1;0
2'-deoxyguanosine 5'-phosphate;Nucleic Acid, Nucleoside, or Nucleotide;1;0
2,2',4,4',5-pentachlorodiphenyl ether;Organic Chemicals;1;0
2-(difluoromethyl)lysine;Amino Acid, Peptide, or Protein;1;0
2-mercaptoacetyl-phenylalanylleucine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
4-nitrobenzoic acid;Organic Chemicals;1;0
Dihydrothymine;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;1;0
Surface kappa;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
abrus agglutinin;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
absinthium;Lipid;1;0
acyclovir monophosphate;Nucleic Acid, Nucleoside, or Nucleotide;1;0
adenosine 5'-phosphorothioate;Nucleic Acid, Nucleoside, or Nucleotide;1;0
AG 2000;Organic Chemicals;1;0
agaric acid;Organic Chemicals;1;0
agrobactin;Organic Chemicals;1;0
AL 87;Organic Chemicals;1;0
albomycin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
alpha-aceto-alpha-hydroxybutyrate;Organic Chemicals, Biologically Active Substance;1;0
alpha-ionone;Organic Chemicals, Biologically Active Substance;1;0
Amiben;Organic Chemicals;1;0
antithiamine factor;Organic Chemicals;1;0
aplasmomycin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
apocodeine;Organic Chemicals, Biologically Active Substance;1;0
araAIPy;Nucleic Acid, Nucleoside, or Nucleotide;1;0
arabinose 5-phosphate;Carbohydrate, Biologically Active Substance;1;0
arsenobetaine;Organic Chemicals;1;0
arugomycin;Organic Chemicals;1;0
asperase;Amino Acid, Peptide, or Protein, Enzyme;1;0
attacin antibacterial protein, insect;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
bacillomycin D;Amino Acid, Peptide, or Protein;1;0
benzyloxycarbonylleucyl-hydroxamate;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
beta-butyrolactone;Organic Chemicals;1;0
beta-fluoroasparagine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
bifidus factor;Organic Chemicals;1;0
bleomycin A6;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
bouvardin;Organic Chemicals;1;0
butyl methacrylate;Organic Chemicals;1;0
Lb substance;Biologically Active Substance;1;0
canavalmine;Organic Chemicals;1;0
Carboxymethylenebutenolidase;Amino Acid, Peptide, or Protein, Enzyme;1;0
carotenoic acid;Organic Chemicals;1;0
celesticetin A;Carbohydrate, Pharmacologic Substance;1;0
chenooxazoline;Steroid;1;0
chloramphenicol 3-acetate;Organic Chemicals;1;0
chrysobactin;Amino Acid, Peptide, or Protein;1;0
cystaurimycin;Amino Acid, Peptide, or Protein;1;0
dehydroepiandrosterone enanthate;Steroid;1;0
deltonin;Steroid;1;0
deoxyuridine triphosphate;Nucleic Acid, Nucleoside, or Nucleotide;1;0
diamminedichlorodihydroxyplatinum IV;Pharmacologic Substance, Inorganic Chemical;1;0
dianhydro-3,4-diacetylgalactitol;Carbohydrate, Pharmacologic Substance;1;0
didemnins;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
dihydro-5-azaorotic acid;Organic Chemicals;1;0
dihydrosterculic acid;Lipid, Biologically Active Substance;1;0
dihydroxyacid dehydratase;Amino Acid, Peptide, or Protein, Enzyme;1;0
tabersonine;Organic Chemicals;1;0
enomycin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
alpha-naphthylacetamide;Organic Chemicals;1;0
cucurbitacin D;Organic Chemicals;1;0
tryptophan-N-formylgramicidin;Amino Acid, Peptide, or Protein;1;0
GE 2770;Organic Chemicals;1;0
STE13 protein, S cerevisiae;Amino Acid, Peptide, or Protein, Enzyme;1;0
alcaligin E;Organic Chemicals;1;0
BMAP-27;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
diumycin;Lipid, Pharmacologic Substance;1;0
LY 303366;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
lepidimoide;Carbohydrate;1;0
goniothalamin;Organic Chemicals;1;0
GPI 1046;Organic Chemicals;1;0
mirabilin;Steroid;1;0
triazamate;Organic Chemicals;1;0
pacifastin;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
DU 6681a;Organic Chemicals;1;0
eleostearic acid;Lipid, Biologically Active Substance;1;0
embryonin;Amino Acid, Peptide, or Protein;1;0
epidermal pentapeptide;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
ice nucleation protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
fatty acid reductase;Amino Acid, Peptide, or Protein, Enzyme;1;0
ficellomycin;Amino Acid, Peptide, or Protein;1;0
fluor-hydroxylapatite;Inorganic Chemical;1;0
fusigen;Organic Chemicals, Biologically Active Substance;1;0
GLA 27;Lipid;1;0
hevein;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
hexafluorovaline;Amino Acid, Peptide, or Protein;1;0
HOE 15030;Organic Chemicals;1;0
homocyclocreatine;Organic Chemicals;1;0
hydnocarpic acid;Lipid;1;0
hydroxynitrodihydrothymine;Nucleic Acid, Nucleoside, or Nucleotide;1;0
kanosamine;Carbohydrate, Pharmacologic Substance;1;0
lanosterol 14 alpha-demethylase;Amino Acid, Peptide, or Protein, Enzyme;1;0
leucyl-leucyl-leucine;Amino Acid, Peptide, or Protein;1;0
leukemia growth-promoting factor;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
liblomycin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
ligninase;Amino Acid, Peptide, or Protein, Enzyme;1;0
linolenyl alcohol;Lipid, Pharmacologic Substance;1;0
Lipid IV;Lipid;1;0
Puregon;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;1;0
lombricine;Amino Acid, Peptide, or Protein;1;0
malioxamycin;Amino Acid, Peptide, or Protein;1;0
malonamic acid;Organic Chemicals;1;0
disulfide compound;Chemical Viewed Structurally;1;0
Mutansucrase;Amino Acid, Peptide, or Protein, Enzyme;1;0
mellitic acid;Organic Chemicals;1;0
3-tritylthio-L-alanine;Amino Acid, Peptide, or Protein;1;0
umbelliprenin;Organic Chemicals;1;0
MB 2;Organic Chemicals;1;0
mercenene;Organic Chemicals;1;0
mesoxalic acid;Organic Chemicals;1;0
compound 30;Organic Chemicals;1;0
methioninyl adenylate;Nucleic Acid, Nucleoside, or Nucleotide, Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
fusamine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
isothiochroman;Organic Chemicals;1;0
methyl cinnamate;Organic Chemicals;1;0
orthonil;Organic Chemicals;1;0
polypectate;Carbohydrate;1;0
lycopodine;Organic Chemicals;1;0
fulvene;Organic Chemicals;1;0
ethyl picolinate;Organic Chemicals;1;0
2-amino-5-methyl-5-hexenoic acid;Organic Chemicals, Biologically Active Substance;1;0
polychlorosubtilin;Amino Acid, Peptide, or Protein;1;0
trypsin resistant core repressor;Amino Acid, Peptide, or Protein;1;0
monoketo-organomycin;Amino Acid, Peptide, or Protein;1;0
origanum oil;Lipid, Pharmacologic Substance;1;0
beta-methylnorleucine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
mycobactin;Organic Chemicals;1;0
25-hydroxycholesteryl oleate;Steroid;1;0
actinomycin D2;Amino Acid, Peptide, or Protein;1;0
myristyl alcohol;Lipid, Pharmacologic Substance;1;0
protease N;Amino Acid, Peptide, or Protein, Enzyme;1;0
cucurbitacin I;Organic Chemicals;1;0
PC-II;Lipid, Pharmacologic Substance;1;0
geranylgeranic acid;Organic Chemicals;1;0
orotic acid hydrazide;Organic Chemicals;1;0
enramycin;Organic Chemicals;1;0
guanidinooxypropylamine;Organic Chemicals;1;0
polyphosphoric acid;Inorganic Chemical;1;0
sboA protein, Bacillus subtilis;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
fuculose 1-phosphate;Carbohydrate;1;0
sweroside;Organic Chemicals;1;0
NORM-2 antigen, mouse;Amino Acid, Peptide, or Protein, Immunologic Factor;1;0
2-amino-5-iodoacetamidovaleric acid;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
pectolinarin;Organic Chemicals;1;0
arginomycin;Carbohydrate;1;0
TMCC;Organic Chemicals;1;0
deoxypheganomycin D;Organic Chemicals, Biologically Active Substance;1;0
Zn(II) aetiopurpurin;Organic Chemicals;1;0
neopullulanase;Amino Acid, Peptide, or Protein, Enzyme;1;0
neosolaniol;Organic Chemicals;1;0
neosugar;Carbohydrate;1;0
neoxanthin;Organic Chemicals, Biologically Active Substance;1;0
myrtenal;Organic Chemicals;1;0
cryptochrome 2;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
3-O-(methylthiomethyl)apiitol tetraacetate;Carbohydrate;1;0
malvidin;Organic Chemicals;1;0
N(2)-(3,4-dichlorobenzyl)guanine;Nucleic Acid, Nucleoside, or Nucleotide;1;0
lunularic acid;Organic Chemicals;1;0
norspermine;Organic Chemicals;1;0
wassumycin;Carbohydrate;1;0
NY 3170;Organic Chemicals;1;0
O,O'-diacetylhematoporphyrin;Organic Chemicals;1;0
grandisin;Organic Chemicals;1;0
vishnu;Amino Acid, Peptide, or Protein;1;0
isosilybin;Organic Chemicals;1;0
methionylphenylalanine;Amino Acid, Peptide, or Protein;1;0
chromosaponin I;Steroid;1;0
onion oil;Lipid;1;0
ar-turmerone;Organic Chemicals;1;0
torularhodin;Organic Chemicals;1;0
cinerubin R;Organic Chemicals;1;0
RGD-albumin conjugate;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
growth differentiation factor 3;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
chloramlincomycin;Carbohydrate, Pharmacologic Substance;1;0
tylosin reductase;Amino Acid, Peptide, or Protein, Enzyme;1;0
palmitoyl tuberactinamine N;Amino Acid, Peptide, or Protein;1;0
Panavia EX;Inorganic Chemical;1;0
pancreotone;Hormone;1;0
aurofusarin;Organic Chemicals;1;0
papulacandins;Carbohydrate, Pharmacologic Substance;1;0
parthenin;Organic Chemicals;1;0
kawaguchipeptin B;Amino Acid, Peptide, or Protein;1;0
SCA 44;Organic Chemicals;1;0
pediocin PD-1;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
pectin lyase;Amino Acid, Peptide, or Protein, Enzyme;1;0
FR 160;Organic Chemicals;1;0
G 7039;Amino Acid, Peptide, or Protein;1;0
pentadecan-2-one;Organic Chemicals;1;0
FCE 25450A;Amino Acid, Peptide, or Protein;1;0
SDZ 215-918;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
pentamethylmonomethylolmelamine;Organic Chemicals;1;0
ubiquitin-specific protease;Amino Acid, Peptide, or Protein, Enzyme;1;0
Peripac;Organic Chemicals;1;0
phage repressor proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
eugeniin;Organic Chemicals;1;0
Humatrix;Amino Acid, Peptide, or Protein;1;0
phenoxazinone;Organic Chemicals;1;0
CGP 59326A;Organic Chemicals;1;0
isocytisoside;Carbohydrate;1;0
SC 68448;Organic Chemicals;1;0
poly ADP-ribose glycohydrolase;Amino Acid, Peptide, or Protein, Enzyme;1;0
polyaspartate;Amino Acid, Peptide, or Protein;1;0
potassium metabisulfite;Pharmacologic Substance, Inorganic Chemical;1;0
precirol;Lipid, Pharmacologic Substance;1;0
proteinase yscD;Amino Acid, Peptide, or Protein, Enzyme;1;0
proticine;Amino Acid, Peptide, or Protein;1;0
Pyruvate, water dikinase;Amino Acid, Peptide, or Protein, Enzyme;1;0
questin;Organic Chemicals;1;0
queuine;Nucleic Acid, Nucleoside, or Nucleotide;1;0
ribosomal protein L15;Amino Acid, Peptide, or Protein;1;0
ribosomal protein L6;Amino Acid, Peptide, or Protein;1;0
safrole oxide;Organic Chemicals;1;0
sanguicin;Amino Acid, Peptide, or Protein;1;0
Sch 25393;Organic Chemicals;1;0
selenalysine;Organic Chemicals;1;0
selenaproline;Amino Acid, Peptide, or Protein;1;0
simplexin;Organic Chemicals;1;0
sodium hypophosphite;Inorganic Chemical;1;0
sporamycin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
sporangiomycin;Amino Acid, Peptide, or Protein;1;0
streptomycin 3''-kinase;Amino Acid, Peptide, or Protein, Enzyme;1;0
tachyplesin peptide, Tachypleus tridentatus;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
tagetitoxin;Organic Chemicals;1;0
Clorox;Inorganic Chemical;1;0
teepol 610;Lipid, Pharmacologic Substance;1;0
thallium sulfate;Pharmacologic Substance, Element, Ion, or Isotope;1;0
thymidine 3',5'-diphosphate;Nucleic Acid, Nucleoside, or Nucleotide;1;0
Tn receptor;Amino Acid, Peptide, or Protein, Receptor;1;0
triamcinolone acetonide receptor;Amino Acid, Peptide, or Protein, Receptor;1;0
trifluoperazine sulfoxide;Organic Chemicals;1;0
tubulin S;Amino Acid, Peptide, or Protein;1;0
tyrosyl-seryl(O-t-butyl)-glycyl-phenylalanyl-leucyl-threonine(O-t-butyl);Amino Acid, Peptide, or Protein;1;0
tyrosyltyrosine;Amino Acid, Peptide, or Protein;1;0
Sphingosine beta-galactosyltransferase;Amino Acid, Peptide, or Protein, Enzyme;1;0
Uridine nucleosidase;Amino Acid, Peptide, or Protein, Enzyme;1;0
Small Nucleolar Ribonucleoproteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
sodium-dependent dicarboxylate transporter 2, rat;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
ST3Gal VI;Amino Acid, Peptide, or Protein, Enzyme;1;0
dual-specificity tyrosine-phosphorylation regulated kinase 1A;Amino Acid, Peptide, or Protein, Enzyme;1;0
globotriose;Carbohydrate;1;0
BCAS1 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
vasopressin-converting aminopeptidase;Amino Acid, Peptide, or Protein, Enzyme;1;0
verruculogen;Organic Chemicals;1;0
Vicia lectins;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
wolframin protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
P-532;Amino Acid, Peptide, or Protein, Pharmacologic Substance;1;0
seryl-glutaminyl-alanyl-phenylalanyl-leucyl-phenylalanyl-glutaminyl-prolyl-glutaminyl-arginyl-phenylalaninamide;Amino Acid, Peptide, or Protein;1;0
Ppm1h protein, rat;Amino Acid, Peptide, or Protein, Enzyme;1;0
oxysterol 7-alpha-hydroxylase;Amino Acid, Peptide, or Protein, Enzyme;1;0
fluoroethoxy-benzovesamicol;Organic Chemicals;1;0
2-bromomyristic Acid;Lipid, Pharmacologic Substance;1;0
secretory carrier membrane protein 1;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
DSD-1-proteoglycan;Carbohydrate;1;0
choline-ethanolaminephosphotransferase;Amino Acid, Peptide, or Protein, Enzyme;1;0
M1-Type Pyruvate Kinase;Amino Acid, Peptide, or Protein, Enzyme;1;0
4-phenyl-3-butenoic acid;Lipid, Pharmacologic Substance;1;0
benzoylnorecgonine;Organic Chemicals;1;0
buthionine sulfoximine ethyl ester;Amino Acid, Peptide, or Protein;1;0
geranylgeranylcysteine;Organic Chemicals;1;0
Glc(3)Man(9)(GlcNAc)(2)-diphosphate-dolichol;Carbohydrate;1;0
Prokaryotic Initiation Factor-2;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
WL 19;Organic Chemicals;1;0
Receptors, Narcotic;Amino Acid, Peptide, or Protein, Receptor;1;0
Pyridoxine-5-Phosphate Oxidase;Amino Acid, Peptide, or Protein, Enzyme;1;0
Thiostatin;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
2,6-diamino-4-hydroxy-5-formamidopyrimidine;Organic Chemicals;1;0
2-fluoro-2-deoxyglucose-6-phosphate;Carbohydrate;1;0
3'-guanylic acid;Nucleic Acid, Nucleoside, or Nucleotide;1;0
4-aminophenylphosphate;Organic Chemicals;1;0
7-lysylalanyl-4-methylcoumarinamide;Amino Acid, Peptide, or Protein;1;0
77Br-brombenperidol;Organic Chemicals;1;0
alpha-preprotachykinin;Amino Acid, Peptide, or Protein;1;0
beta-citryl-L-glutamic acid;Organic Chemicals;1;0
Inhibin-beta Subunits;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
3-mercaptopyruvate;Amino Acid, Peptide, or Protein;1;0
Bioplastique;Organic Chemicals;1;0
bisphosphoglycerate synthase-phosphatase;Amino Acid, Peptide, or Protein, Enzyme;1;0
caudodorsal cell hormone;Hormone;1;0
Canine parvovirus deoxyribonucleic acid;Nucleic Acid, Nucleoside, or Nucleotide, Biologically Active Substance;1;0
ATPase, chloride;Amino Acid, Peptide, or Protein, Enzyme;1;0
Tor1b protein, mouse;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
VT1 receptor;Amino Acid, Peptide, or Protein, Receptor;1;0
Rho GDIalpha;Amino Acid, Peptide, or Protein;1;0
diuresin;Amino Acid, Peptide, or Protein;1;0
Brain Expressed RING finger Protein;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;1;0
RS 127445;Organic Chemicals;1;0
Black-Gold;Organic Chemicals;1;0
1-(p-methylbenzyl)-2-ethyl-3-hydroxypyrid-4-one;Organic Chemicals;1;0
SUMO-1 C-terminal hydrolase;Amino Acid, Peptide, or Protein, Enzyme;1;0
nedasin;Amino Acid, Peptide, or Protein, Enzyme;1;0
zonula occludens toxin receptor;Amino Acid, Peptide, or Protein, Receptor;1;0
GRIA3 protein, human;Amino Acid, Peptide, or Protein, Receptor;1;0
OLIG2 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
calpain activator;Amino Acid, Peptide, or Protein;1;0
formin-2;Amino Acid, Peptide, or Protein;1;0
ethanolamine-serine base exchange enzyme;Amino Acid, Peptide, or Protein, Enzyme;1;0
gastrin-releasing peptide precursor;Amino Acid, Peptide, or Protein, Biologically Active Substance;1;0
GD1a synthase;Amino Acid, Peptide, or Protein, Enzyme;1;0
glucuronyltransferase GlcAT-1;Amino Acid, Peptide, or Protein, Enzyme;1;0
GT1b synthase;Amino Acid, Peptide, or Protein, Enzyme;1;0
lactosylceramidase I;Amino Acid, Peptide, or Protein, Enzyme;1;0
lysoplasmenylethanolamine;Lipid;1;0
